책제목,글쓴이,출판사,출판년,대여료
칼과 황홀 : 성석제의 음식 이야기,성석제 지음,문학동네,2011,2477
신신,마르크 앙투안 마티외 지음 ; 김지희 ; 맹슬기 ; 안준호 ; 이하규 [공]옮김,휴머니스트,2011,2290
습관부터 바꿔라 : 100만 독자의 인생을 바꾼 『이기는 습관』 전옥표 박사의 최신작,전옥표 지음,중앙books,2011,3303
"박노자의 만감일기 : 나, 너, 우리, 그리고 경계를 넘어",박노자 지음,인물과사상사,2008,2072
1일 1구 : 내 삶에 힘이 되는 고전명언 365,김영수 지음,유유,2013,7557
럭키의 죽음 : 이재웅 소설집,이재웅,랜덤하우스코리아,2007,1012
절름발이 늑대에게 경의를,"바스코 포파 지음, 오민석 옮김",문학동네,2006,2574
온 삶을 먹다,웬델 베리 지음  ; 이한중 옮김,낮은산,2011,4026
"아하! 철학, 그리고 사상가들",거송미디어 기획출판부 엮음,거송미디어,2005,1572
변신 이야기 . 2 = Metamorphoses,오비디우스,민음사,2005,9821
"버릴 수 없는 것들의 목록  : '문학관, 도서관에 문학작가 파견 사업'작품집",이성아 외,북스토리,2010,9127
나쁜 고양이는 없다,이용한 지음,북폴리오,2012,3026
미의 나라 조선,김정기 지음,한울,2011,7161
가면 쓴 사자,마르가리타 델 마소 글 ; 팔로마 발디비아 그림 ; 김미경 옮김,오마주,2011,1427
"늦은 밤, 잠 못 드는 아이들",미즈타니 오사무 지음 ; 김현희 옮김,에이지21,2005,6360
대한민국 선진화 전략,박세일 지음,북이십일,2006,3018
이효석 유진오 외,최원식 외 엮음,창비,2005,9555
신나는 마술사 : 정두리 동시집,정두리 지음 ; 노인경 그림,문학과지성사,2011,3531
1박2일 가족여행 시티투어 : 전국 시티투어를 통해 쉽게 갈 수 있는 우리나라 여행지 소개,세계견문록 지음,성하books,2011,9379
(시스템 관리자를 위한) 시간관리 전략,지은이: 토머스 리먼첼리 ; 옮긴이: 김지원,한빛미디어,2007,8095
Prisonbreak로 영어감옥 탈출하기,박수진 지음,스크린영어사,2008,3185
아멜리아 이어하트,베틀북 .편집부,베틀북,0,5221
도덕 발달과 도덕 교육,추병완 저,하우,2007,9384
"나노바이오, 미래를 여는 기술",리처드 존스 지음 ; 김태억 옮김,궁리출판,2007,9540
윌리 러셀,베틀북 .편집부,베틀북,0,2784
(디지털 사진가를 위한)color balance card : power user,[일공육사 편집부 편],일공육사,2006,2065
신화의 끝,이 영 지음,좋은벗,2000,2135
장자,[장자 저] ; 기세춘 옮김,바이북스,2008,2602
길잃은 무지개 물고기,"피스터, 마르쿠스",시공주니어,2008,1035
한국사편지. 4 : 조선 후기부터 대한제국 성립까지,박은봉 지음,책과함께어린이,2009,2192
"장군과 제왕. 1, 대륙의 별, 장군 고선지",이덕일 지음,웅진씽크빅,2005,9038
비 오는 날이 왜 좋을까?,노루궁뎅이 창작교실 글 ; 반성희 그림,노루궁뎅이,2012,1146
세월의 돌. 3 : 봄의 대륙을 가로질러,전민희 지음,제우미디어,2010,1256
가난한 집 맏아들 : 대한민국 경제정의를 말하다,유진수 지음,한국경제신문,2012,4139
"야생의 초원, 세렝게티",최삼규 글 ; 김수만 사진,현암사,2004,4264
진보의 미래 : 다음 세대를 위한 민주주의 교과서,노무현 지음,동녘,2009,3697
슬플 땐 매운 떡볶이  : 강정연 장편동화,강정연 지음  ; 김미희 그림,비룡소,2011,8088
밤 : 마크 레비 장편소설. 2,마크 레비 지음 ; 강미란 옮김,열림원,2011,7259
새야 녹두새야,안도섭 저,푸른사상,2002,9576
TOEIC 영단어 이젠 문장으로 외운다,Kazuhiro Ikeda 지음,행담출판,2010,8599
발달심리학 거장들의 핵심이론 연구,Ross D. Parke...[등]엮음 ; 이민희 ; 정태연 [공]옮김,학지사,2004,2751
공작부인 이야기,제프리 초서 지음 ; 김재환 옮김,나남,2009,8372
거울 옷을 입은 아이들,김진경 글 ; 조성흠 그림,문학동네,2009,5756
선물이 꼭 필요한 날,천즈위안 글.그림 ; 김현좌 옮김,베틀북,2005,8785
장이 : 사라져가는 토종문화를 찾아서,이용한 글 ; 심병우 사진,실천문학사,2001,6033
살아있는 지리 교과서. 1 : 자연지리-사람과 자연의 조화로운 공존,전국지리교사연합회 지음,휴머니스트,2011,7171
문제해결력 트레이닝,"나라이 안 지음, 김영철 옮김",일빛,2003,6767
진짜 일하러 회사에 가라! : 직장 상사 누구도 해주지 않는 16가지 이야기,"래리 윙겟 지음, 김유신 옮김",랜덤하우스코리아,2008,4274
원효 구도의 길,장성재 글,"경상북도,동국대학교 산학협력단",2013,8867
윤동주 시어 사전,조재수 지음,연세대학교 출판부,2005,1448
장발장 : 논술대비 세계명작,"빅토르, 위고 원작, 강명희 엮음, 김세온 그림",지경사,2006,6983
패러독스 범죄학,이창무 지음,메디치미디어,2010,1846
이별의 능력,김행숙,문학과지성사,2007,1388
야외교육론,김관진 ; 이광수 공지음,대경북스,2011,9125
(김정기·조성복) 가정의 살림살이,김현경 ; 박성연 ; 이건욱 [공]지음,국립민속박물관,2009,2283
조선 후기 유림의 사상과 활동,권오영 지음,동베개,2003,6288
현상학으로 가는길. 1,이영호 지음,성균관대학교,1995,9826
"지금, 사랑해도 될까요?",제임스 패터슨 ; 가브리엘 샤보네트 [공]지음 ; 조동섭 옮김,밀리언하우스,2010,1863
율이네 집,조수정 글.사진,아트북스,2009,3374
종묘의궤. 1,한국고전번역원 기획 ; 선종순 옮김,김영사,2009,2974
레옹과 발명 이야기,아니 그루비 지음  ; 김성희 옮김,진선아이,2012,3903
(과학선생님이 들려주는)우주 이야기,이광렬,일진사,2012,1649
제인 에어 납치사건,재스터 포드 지음 ; 송경아 옮김,북하우스,2003,3591
당신은 장애를 아는가 : 장애·장애 문제·장애인 운동의 사회적 이해,김도현 지음,메이데이,2007,8253
인간은 왜 악에 굴복하는가,찰스 프레드 앨퍼드 지음 ; 이만우 옮김,황금가지,2004,5958
꺼벙이 억수와 방울 소리,윤수천 글  ; 원유미 그림,좋은책어린이,2011,3737
(쉽게 만드는 내 몸에 맞는)천연향수,배혜현 지음,봄풀,2011,1491
분홍리본의 시절 : 권여선 소설집,권여선,창비,2007,7323
교육사회학,김신일 [저],교육과학사,2007,9960
Goldilocks and the three bears,edited by Award Publication,Award,2008,5468
(빌 브라이슨의)대단한 호주 여행기,빌 브라이슨 지음 ; 이미숙 옮김,알에이치코리아,2012,1238
암스트롱이 들려주는 달 이야기,정완상 지음,자음과모음,2005,3026
(통계자료분석을 위한) SAS 활용과 실습,정기문 ; 한성실 ; 김정렬 공저,OK Press,2003,1812
특허권남용의 경쟁법적 규율  : 표준을 중심으로 본 경쟁법과 지적재산권,최승재 저,세창출판사,2010,3843
배려 : 귀찮은 것이 삶이 될 때 우리는 비로소 '왕'이 된다,이의섭 지음,지식공감,2013,2322
풍수. 1 : 산국,김종록 지음,나남출판,2006,5783
봄날은 간다 : 신화 속으로 떠난 이윤기를 그리며,이윤기 외 지음,섬앤섬,2011,9881
추상표현주의 예술가,베틀북 .편집부,베틀북,0,9153
그 남자네 집,박완서 저,세계사,2012,8257
한국 근대사 산책. 7 : 간토대학살에서 광주학생운동까지,강준만 지음,인물과사상사,2008,3604
합리성의 새로운 지평,존 써얼 지음 김기현 외 옮김,철학과 현실사,2001,9348
